subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	0	0					0.1	1	right	212.804743043	-16.6652497304	1.0	844.284038059	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	1	0					0.1	0					1336.81483939		nogo	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	2	0					0.1	1	left	-199.806062947	10.3481444452	1.0	584.793178365	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	3	0					0.1	0					1329.39457614		nogo	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	4	0					0.1	1	left	-213.484068468	16.5278929129	1.0	662.364369258	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	5	0					0.1	1	right	197.038233604	12.2143962137	1.0	774.111664854	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	6	0					0.1	1	left	-223.36112144	-9.32093691929	1.0	864.569080994	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	7	0					0.1	1	left	-191.409483007	3.6385895061	1.0	485.645904206	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	8	0					0.1	1	right	205.663348323	0.307231864616	1.0	532.629467547	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	practice	9	0					0.1	0					1323.62174336		nogo	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	0	0					0.1	1	left	-214.968428126	-0.0231364187515	1.0	603.322391398	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	1	1	frame	right	200	0	0.1	1	right	192.214216328	-19.0130383323	1.0	385.251261294	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	2	0					0.1	1	left	-213.112828406	-5.97489788345	1.0	418.69781632	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	3	0					0.1	1	left	-222.361526383	-23.7082956731	1.0	569.333061576	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	4	1	frame	left	-200	0	0.1	1	left	-198.676002581	-14.2436790534	1.0	381.893231533	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	5	0					0.1	1	left	-219.023647842	11.1008792847	1.0	477.479324676	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	6	1	frame	right	200	0	0.1	1	right	188.531812073	-17.008356027	1.0	344.563029706	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	7	1	sound	left			0.1	1	left	-182.557633835	2.61124523513	1.0	649.683634751	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	8	0					0.1	0					1328.03529873		nogo	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	9	1	frame	right	200	0	0.1	1	right	215.068568654	9.17843857167	1.0	532.626348548	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	10	0					0.1	1	right	201.028631168	-8.67169919547	1.0	505.957851186	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	11	1	sound	left			0.1	1	left	-222.929041702	1.76735255852	1.0	539.574412629	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	12	1	frame	right	200	0	0.1	0					1328.2364998		nogo	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	13	0					0.1	1	right	195.660456885	-9.61637406948	1.0	703.180497512	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	14	1	frame	left	-200	0	0.1	1	left	-196.930305319	12.4590725775	1.0	427.507380024	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	15	0					0.1	1	left	-202.788394402	5.52200237547	1.0	426.624201238	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	16	0					0.1	1	right	216.798944288	13.5105118578	1.0	697.58508075	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	17	0					0.1	1	left	-215.10820347	-16.2574833784	1.0	525.421713479	 	go	1
SPC507	2015_Apr_24_1347	LL-Kramer	wr	cueing_effect	18	1	sound	right			0.1	0					1338.0278945		nogo	1
