subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	interval	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	rt	key	response	is_correct
SPC515	2015_Apr_24_1701	LL-George	ns	practice	0	0					0.1	1	left	-206.35098809	8.07841925209	1.0	1330.05568686		nogo	0
SPC515	2015_Apr_24_1701	LL-George	ns	practice	1	0					0.1	1	left	-210.651593506	-11.0562209287	1.0	757.439247769	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	2	0					0.1	1	left	-211.639834015	-18.4485089033	1.0	465.454892183	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	3	0					0.1	1	left	-197.049956866	-0.616973865938	1.0	504.122881495	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	4	0					0.1	1	right	194.811948936	-19.3001861483	1.0	480.442121057	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	5	0					0.1	0					1336.39815832		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	6	0					0.1	1	right	189.617797743	-15.2747495144	1.0	496.56765761	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	7	0					0.1	0					1329.9229332		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	8	0					0.1	1	left	-181.825289934	-8.72756317244	1.0	584.118334125	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	practice	9	0					0.1	1	right	209.176482773	-9.95958633388	1.0	389.625044234	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	0	0					0.1	0					1336.50120744		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	1	1	sound	left			0.1	1	left	-180.6611189	6.26262879878	1.0	540.121495273	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	2	1	frame	right	200	0	0.1	1	right	219.241891326	-5.79635775222	1.0	397.831934592	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	3	0					0.1	1	right	211.245213495	16.2249588484	1.0	451.50805598	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	4	1	frame	right	200	0	0.1	0					1330.57423295		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	5	1	sound	left			0.1	0					1305.59307334		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	6	1	frame	left	-200	0	0.1	1	left	-202.491273299	-2.44086063274	1.0	461.408105664	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	7	1	sound	right			0.1	1	right	188.214630349	19.3135093718	1.0	473.75419669	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	8	0					0.1	1	right	207.914454498	5.48131435814	1.0	613.932900727	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	9	1	sound	left			0.1	1	left	-210.198395826	-23.1661567627	1.0	449.505382567	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	10	1	frame	right	200	0	0.1	1	right	210.99339687	-17.5540573438	1.0	455.962638283	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	11	0					0.1	1	left	-193.711009493	15.5169703759	1.0	353.463238775	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	12	0					0.1	1	left	-197.545654766	8.15770149506	1.0	482.898797345	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	13	1	sound	right			0.1	1	right	200.253648021	17.4712969925	1.0	370.962519097	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	14	1	frame	left	-200	0	0.1	0					1332.27179297		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	15	1	sound	left			0.1	1	left	-193.510293091	-6.83383327586	1.0	388.390655164	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	16	0					0.1	1	left	-220.937250319	-15.1848753476	1.0	491.931547513	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	17	1	frame	right	200	0	0.1	1	right	222.998529179	-17.5953065616	1.0	1336.46343499		nogo	0
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	18	1	sound	right			0.1	1	right	205.862061777	18.3127445808	1.0	438.038326203	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	19	1	frame	left	-200	0	0.1	1	left	-193.398758378	-6.47566846009	1.0	388.263035624	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	20	1	frame	left	-200	0	0.1	1	left	-216.615237381	-5.97603757141	1.0	451.654378398	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	21	1	sound	right			0.1	1	right	198.864298149	12.9946256271	1.0	368.876599605	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	22	0					0.1	1	left	-219.28553272	2.25391409275	1.0	369.297964135	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	23	1	frame	right	200	0	0.1	1	right	219.148215583	10.9981911463	1.0	461.415073398	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	24	1	sound	right			0.1	0					1319.30117296		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	25	1	frame	right	200	0	0.1	1	right	204.16694619	19.5676923403	1.0	444.794827752	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	26	1	sound	left			0.1	0					1329.60095054		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	27	1	frame	right	200	0	0.1	1	right	194.33148212	4.24227911982	1.0	449.202836229	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	28	0					0.1	1	left	-182.533396629	-3.48214410214	1.0	510.334799619	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	29	1	sound	left			0.1	1	left	-180.66700779	-19.4254643374	1.0	412.100386704	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	30	0					0.1	1	right	187.855202373	-16.0038967006	1.0	415.829224512	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	31	1	frame	right	200	0	0.1	1	right	203.379504116	6.99999406483	1.0	353.993886732	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	32	0					0.1	1	right	200.894762659	-12.1623498252	1.0	381.793678069	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	33	1	sound	right			0.1	1	right	184.478661512	-11.0655308315	1.0	429.474614532	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	34	0					0.1	1	left	-186.113275479	1.77942557162	1.0	461.480350074	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	35	1	sound	left			0.1	1	left	-215.416190368	-22.2090467408	1.0	435.755476545	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	36	0					0.1	1	right	192.53665864	-15.6061144025	1.0	402.791127504	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	37	0					0.1	1	left	-192.183364591	-10.2362041302	1.0	394.667483226	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	38	1	frame	left	-200	0	0.1	0					1328.45237461		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	39	0					0.1	1	left	-209.421496006	10.5820390695	1.0	492.093638997	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	40	1	sound	right			0.1	1	right	202.432235565	-14.6580478204	1.0	360.227808225	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	41	1	sound	left			0.1	1	left	-205.531417053	7.37272268964	1.0	344.089436359	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	42	0					0.1	0					1336.58188645		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	43	0					0.1	1	left	-179.98282809	1.77668395979	1.0	448.360473878	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	44	1	sound	right			0.1	0					1331.727943		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	45	1	sound	right			0.1	1	right	183.963884599	16.769126436	1.0	539.32717361	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	46	1	frame	left	-200	0	0.1	1	left	-216.07597621	-23.8159940416	1.0	136.383856137	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	47	0					0.1	1	left	-219.492964095	-0.0939719264099	1.0	497.305870682	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	48	1	sound	right			0.1	1	right	186.887729653	6.20642439663	1.0	405.089746244	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	49	1	frame	left	-200	0	0.1	1	left	-180.795241203	16.0378766783	1.0	437.628696804	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	50	0					0.1	1	right	217.153495634	-11.3161636817	1.0	384.160140529	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	51	1	sound	left			0.1	1	left	-219.235914533	19.2133087059	1.0	401.019489495	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	52	1	sound	left			0.1	0					1336.29070852		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	53	1	frame	left	-200	0	0.1	1	left	-191.144241139	3.84536291882	1.0	418.753105681	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	54	1	frame	right	200	0	0.1	1	right	203.760892739	0.124390485907	1.0	359.987604767	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	55	1	sound	left			0.1	0					1331.47490425		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	56	1	frame	right	200	0	0.1	1	right	220.15705169	22.2380752236	1.0	392.558826934	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	57	1	sound	left			0.1	1	left	-185.646974608	-14.5423501418	1.0	421.764266895	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	58	1	sound	right			0.1	1	right	218.149021247	5.4419549679	1.0	362.379737824	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	59	0					0.1	1	left	-210.524053279	-6.8565824435	1.0	406.8602841	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	60	1	sound	left			0.1	1	left	-219.230901568	-7.07934689713	1.0	464.708977917	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	61	0					0.1	1	left	-208.62094215	18.2076313511	1.0	365.959319432	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	62	0					0.1	1	left	-189.852318228	13.3502446067	1.0	377.289954908	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	63	1	frame	left	-200	0	0.1	1	left	-195.031571831	-13.1662503634	1.0	337.996336442	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	64	1	sound	right			0.1	1	right	204.653008504	18.7951841728	1.0	353.642566246	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	65	1	sound	right			0.1	1	right	213.77159962	-23.6031946229	1.0	381.576211425	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	66	1	sound	right			0.1	0					1336.40732639		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	67	1	frame	left	-200	0	0.1	1	left	-178.372208736	-20.6497933463	1.0	336.024467746	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	68	0					0.1	1	left	-209.710958023	-20.4244368622	1.0	459.09188423	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	69	0					0.1	1	left	-223.760858102	5.66913200815	1.0	447.303945388	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	70	1	frame	left	-200	0	0.1	0					1336.50927534		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	71	1	frame	left	-200	0	0.1	1	left	-190.834015535	-21.83154251	1.0	404.461550017	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	72	1	frame	left	-200	0	0.1	1	left	-212.189093614	-22.9736283238	1.0	405.706574049	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	73	1	sound	left			0.1	1	left	-186.323393822	-7.60891711452	1.0	441.63734412	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	74	1	frame	right	200	0	0.1	1	right	206.354547651	0.502692064315	1.0	410.00639931	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	75	1	frame	right	200	0	0.1	1	right	209.540672597	12.6241131922	1.0	365.846368804	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	76	1	sound	right			0.1	1	right	176.79198669	-0.977842556697	1.0	432.607160998	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	77	1	sound	right			0.1	0					1329.41172156		nogo	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	78	1	frame	right	200	0	0.1	1	right	216.644976205	-1.53721819118	1.0	402.510584536	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	79	0					0.1	1	right	222.790950773	-13.3769285462	1.0	419.525790698	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	80	1	frame	left	-200	0	0.1	1	left	-218.40182138	-23.2940331279	1.0	427.374392835	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	81	1	sound	right			0.1	1	right	190.272816421	-15.562499405	1.0	403.250997944	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	82	1	sound	right			0.1	1	right	195.700176973	-9.68011800371	1.0	310.277224125	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	83	0					0.1	1	right	189.073659325	12.1388803285	1.0	404.639410612	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	84	1	frame	right	200	0	0.1	1	right	214.496906289	-20.8050125915	1.0	343.93321244	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	85	1	frame	left	-200	0	0.1	1	left	-185.004241274	11.7193870912	1.0	336.14475283	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	86	1	frame	right	200	0	0.1	1	right	208.231017997	6.85431974852	1.0	310.66008276	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	87	1	frame	left	-200	0	0.1	1	left	-212.671285373	4.10180774367	1.0	344.59368026	 	go	1
SPC515	2015_Apr_24_1701	LL-George	ns	cueing_effect	88	1	sound	left			0.1	0					1328.32768885		nogo	1
